sourceid1,destid1
4,718
5,666
6,669
7,667
8,668
11,677
13,713
14,712
18,670
23,671
25,672
26,673
27,674
28,675
29,676
31,717
37,685
38,684
39,683
41,679
42,686
43,680
45,681
46,678
49,682
51,687
53,688
55,689
56,690
58,694
60,693
61,692
63,691
64,701
65,700
66,702
67,699
68,697
69,696
70,698
71,695
72,703
73,704
74,707
75,705
76,706
77,708
79,709
81,710
83,711
85,719
86,728
87,727
88,726
89,725
90,724
91,723
92,722
93,721
94,720
95,729
96,730
97,731
98,732
100,733
101,734
103,735
104,736
106,737
107,739
108,738
110,740
111,741
112,742
114,743
115,745
117,744
118,746
119,747
120,748
121,749
122,750
123,751
124,752
125,753
126,754
127,755
128,756
130,757
131,758
133,759
134,760
135,761
137,763
138,762
140,764
141,765
142,766
144,767
146,768
148,769
149,770
150,771
151,772
152,773
153,774
154,775
156,776
157,777
159,778
160,779
161,780
162,781
163,782
164,783
165,784
166,785
167,786
169,787
170,788
171,793
172,792
173,791
174,790
176,789
177,797
179,796
180,795
182,794
183,798
184,799
185,800
186,804
187,803
188,802
189,801
190,805
192,807
193,806
195,808
197,809
198,810
199,811
201,812
202,814
203,813
204,815
206,816
207,817
208,818
209,819
210,820
212,821
213,822
214,823
216,825
217,824
218,826
219,827
220,828
221,829
223,830
224,831
225,832
226,833
227,834
228,835
229,836
230,837
231,838
232,839
233,840
235,868
236,841
237,842
238,846
239,845
240,844
241,843
242,847
243,848
244,849
245,854
246,853
247,852
248,851
250,850
251,855
252,856
253,857
254,858
255,859
256,861
257,860
258,862
259,863
260,864
261,866
263,865
264,867
265,869
266,870
267,871
269,872
270,873
271,875
272,874
273,876
274,877
275,878
277,879
278,880
279,883
281,882
282,881
283,884
284,885
286,886
287,888
288,887
289,889
290,890
292,891
294,896
295,895
296,894
298,893
300,892
301,897
302,898
304,899
305,900
306,901
307,902
308,903
309,904
310,905
311,906
312,907
313,908
314,909
315,910
316,911
317,912
319,913
320,914
321,915
322,916
323,917
324,918
326,919
327,920
328,921
329,922
331,923
333,924
334,925
335,926
337,927
338,928
339,929
340,930
341,931
342,932
343,940
344,939
345,938
346,937
347,936
348,935
350,934
351,933
352,941
353,942
355,943
356,944
358,945
359,946
360,955
361,954
362,953
363,952
364,951
365,950
366,949
367,948
369,947
370,956
371,957
372,958
373,959
374,960
375,961
376,962
377,963
378,964
380,965
381,966
382,967
383,968
384,969
385,970
386,971
387,972
388,973
389,975
390,974
391,976
392,977
393,978
394,979
395,981
396,980
397,982
398,983
399,984
400,985
401,987
402,986
403,988
404,989
405,990
407,991
408,996
409,995
411,994
412,993
414,992
415,997
416,998
417,1000
418,999
419,1001
420,1002
422,1003
423,1008
425,1007
427,1006
428,1005
429,1004
430,1009
431,1010
432,1011
433,1012
434,1013
436,1014
437,1015
438,1016
439,1017
440,1018
441,1019
442,1020
443,1021
444,1022
445,1023
446,1024
447,1025
448,1026
449,1027
450,1028
451,1029
452,1030
453,1032
454,1031
455,1033
456,1034
458,1035
459,1036
460,1037
461,1038
462,1039
464,1040
465,1041
466,1042
467,1043
468,1044
469,1045
470,1046
471,1047
472,1048
473,1049
474,1050
475,1054
476,1053
477,1052
478,1051
479,1055
480,1056
481,1057
482,1058
483,1059
484,1060
485,1061
486,1063
487,1062
488,1064
489,1065
491,1066
492,1067
494,1068
495,1069
496,1070
497,1071
498,1072
499,1073
500,1077
501,1076
502,1075
503,1074
504,716
505,1082
507,1081
508,1080
510,1079
511,1078
512,1083
513,1084
514,1085
515,1086
516,1087
517,1088
518,1089
519,1090
520,1091
521,1092
522,1093
523,1094
524,1095
525,1096
527,1097
528,1098
529,1101
530,1100
532,1099
533,1102
534,1103
535,1109
536,1108
538,1107
540,1106
541,1105
542,1104
543,1110
544,1111
545,1112
546,1113
547,1114
548,1115
550,1116
551,1117
552,1118
553,1119
554,1120
555,1121
556,1122
557,1123
558,1125
559,1124
560,1126
561,1127
562,1128
563,1129
564,1130
565,1131
566,1132
573,1133
574,1134
575,1135
576,1136
577,1137
578,1138
579,1139
580,1140
581,1141
582,1142
583,1147
584,1146
585,1145
586,1144
587,1143
588,1148
589,1149
590,1150
591,1151
592,1152
593,1157
595,1156
596,1155
598,1154
599,1153
601,1158
603,1159
604,1160
605,1161
606,1162
607,1163
609,1164
610,1165
611,1166
613,1167
614,1168
615,1176
616,1175
617,1174
618,1173
619,1172
621,1171
622,1170
623,1169
624,1177
625,1178
626,1179
627,1181
629,1180
630,1182
631,1183
632,1184
633,1185
634,1186
636,1187
637,1188
638,1189
639,1190
640,1191
641,1192
642,1194
643,1193
644,1195
645,1196
646,1199
647,1198
648,1197
649,1200
650,1201
652,1202
653,1203
654,1206
655,1205
656,1204
657,1207
658,1208
659,1209
660,1210
661,1212
662,1211
663,1213
665,1214
666,1215
668,1216
669,1217
671,1218
672,1219
673,1220
674,1221
675,1222
676,1223
677,1224
678,1225
679,1226
680,1227
681,1228
682,1229
